,,Joe Wilson,David Robinson II,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Precinct,Warrenville,978,405,3,1386,54,1440
Precinct,White Pond,335,212,0,547,24,571
Precinct,Willow Springs,649,193,5,847,32,879
Precinct,Windsor No. 43,571,251,3,825,32,857
Precinct,Windsor No. 82,512,230,1,743,30,773
County,Barnwell,5646,3865,10,9521,336,9857
Precinct,Barnwell 01,228,200,0,428,14,442
Precinct,Barnwell 02,693,330,1,1024,30,1054
Precinct,Barnwell 03,729,402,1,1132,32,1164
Precinct,Barnwell 04,386,461,1,848,39,887
Precinct,Blackville 01,211,363,0,574,24,598
Precinct,Blackville 02,134,230,1,365,10,375
Precinct,Elko,237,169,0,406,8,414
Precinct,Failsafe,9,16,0,25,1,26
Precinct,Failsafe Provisional,5,3,0,8,0,8
Precinct,Friendship,482,30,0,512,18,530
Precinct,Healing Springs,159,352,0,511,20,531
Precinct,Hilda,601,49,0,650,24,674
Precinct,Kline,258,140,0,398,18,416
Precinct,Provisional,3,4,0,7,0,7
Precinct,Snelling,478,308,0,786,31,817
Precinct,Williston 01,373,482,3,858,36,894
Precinct,Williston 02,291,112,1,404,9,413
Precinct,Williston 03,369,214,2,585,22,607
County,Lexington,98626,43639,409,142674,5297,147971
Precinct,7 Oaks,529,578,4,1111,40,1151
Precinct,Amicks Ferry,2618,658,9,3285,92,3377
Precinct,Barr Road 01,859,228,3,1090,41,1131
Precinct,Barr Road 02,2055,810,11,2876,121,2997
Precinct,Batesburg,605,492,1,1098,76,1174
Precinct,Beulah Church,2052,333,4,2389,54,2443
Precinct,Boiling Springs,1497,481,2,1980,69,2049
Precinct,Boiling Springs South,882,141,0,1023,30,1053
Precinct,Bush River,675,477,3,1155,43,1198
Precinct,Carolina Springs,1047,521,1,1569,61,1630
Precinct,Cayce No. 01,501,549,5,1055,41,1096
Precinct,Cayce No. 02,426,547,3,976,45,1021
Precinct,Cayce No. 02-A,517,353,5,875,41,916
Precinct,Cayce No. 03,320,214,1,535,16,551
Precinct,Cedar Crest,887,516,4,1407,50,1457
Precinct,Chalk Hill,605,1268,7,1880,81,1961
Precinct,Challedon,423,590,1,1014,52,1066
Precinct,Chapin,1889,610,6,2505,102,2607
Precinct,Coldstream,775,610,9,1394,52,1446
Precinct,Congaree 01,870,260,0,1130,44,1174
Precinct,Congaree 02,546,247,2,795,27,822
Precinct,Cromer,728,304,2,1034,24,1058
Precinct,Dreher Island,1215,194,2,1411,43,1454
Precinct,Dutchman Shores,2302,558,7,2867,71,2938
Precinct,Edenwood,1034,592,2,1628,61,1689
Precinct,Edmund 01,609,240,2,851,39,890
Precinct,Edmund 02,1057,255,5,1317,58,1375
Precinct,Emmanuel Church,1048,421,4,1473,52,1525
Precinct,Failsafe,74,41,0,115,7,122
Precinct,Failsafe Provisional,39,20,0,59,6,65
Precinct,Fairview,790,176,1,967,52,1019
Precinct,Faith Church,661,351,1,1013,42,1055
Precinct,Gardendale,395,552,1,948,31,979
Precinct,Gaston 01,678,147,3,828,30,858
Precinct,Gaston 02,723,245,3,971,36,1007
Precinct,Gilbert,1533,308,4,1845,55,1900
Precinct,Grenadier,482,614,3,1099,40,1139
Precinct,Hollow Creek,1943,445,5,2393,77,2470
Precinct,Hook's Store,746,517,6,1269,59,1328
Precinct,Irmo,835,804,2,1641,55,1696
Precinct,Kitti Wake,805,385,3,1193,39,1232
Precinct,Lake Murray 01,1423,374,10,1807,59,1866
Precinct,Lake Murray 02,2265,699,10,2974,102,3076
Precinct,Leaphart Road,409,304,1,714,37,751
Precinct,Leesville,1154,478,8,1640,66,1706
Precinct,Lexington No. 01,1504,696,9,2209,73,2282
Precinct,Lexington No. 02,929,526,11,1466,73,1539
Precinct,Lexington No. 03,1891,669,6,2566,117,2683
Precinct,Lexington No. 04,1468,725,8,2201,97,2298
Precinct,Lincreek,1061,735,5,1801,77,1878
Precinct,Mack-edisto,505,114,1,620,21,641
Precinct,Midway,833,273,2,1108,40,1148
Precinct,Mims,813,174,4,991,30,1021
Precinct,Mount Horeb,1709,460,5,2174,76,2250
Precinct,Mt. Hebron,635,387,3,1025,44,1069
Precinct,Murraywood,889,660,3,1552,64,1616
Precinct,Oakwood,1569,679,5,2253,69,2322
Precinct,Old Barnwell Road,825,474,3,1302,46,1348
Precinct,Old Lexington,2005,567,4,2576,72,2648
Precinct,Park Road 01,1244,501,5,1750,46,1796
Precinct,Park Road 02,763,264,2,1029,43,1072
Precinct,Pelion 01,781,135,4,920,29,949
Precinct,Pelion 02,868,183,5,1056,52,1108
Precinct,Pilgrim Church,1481,532,9,2022,68,2090
Precinct,Pine Ridge 01,643,283,4,930,32,962
Precinct,Pine Ridge 02,1028,471,2,1501,62,1563
Precinct,Pineview,952,381,6,1339,34,1373
Precinct,Platt Springs 01,733,231,8,972,33,1005
