state,election_year,county,registered_voters,ballots_cast,president_votes,source_url,source_member
GA,2012,Newton County,57939,43435,43226,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Newton_42385_112335-summary.zip
GA,2012,Oconee County,22362,17889,17807,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Oconee_42386_112334-summary.zip
GA,2012,Oglethorpe County,7661,6307,6260,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Oglethorpe_42387_112332-summary.zip
GA,2012,Paulding County,77831,57604,57375,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Paulding_42388_112330-summary.zip
GA,2012,Peach County,15818,11573,11513,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Peach_42389_112329-summary.zip
GA,2012,Pickens County,17169,12738,12673,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Pickens_42390_112326-summary.zip
GA,2012,Pierce County,9650,6877,6846,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Pierce_42391_112325-summary.zip
GA,2012,Pike County,10630,8162,8108,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Pike_42392_112323-summary.zip
GA,2012,Polk County,19256,13696,13601,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Polk_42393_112322-summary.zip
GA,2012,Pulaski County,5206,3704,3681,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Pulaski_42394_112321-summary.zip
GA,2012,Putnam County,11299,9259,9219,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Putnam_42395_112314-summary.zip
GA,2012,Quitman County,1453,1147,1128,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Quitman_42396_112312-summary.zip
GA,2012,Rabun County,9704,7501,7441,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Rabun_42397_112309-summary.zip
GA,2012,Randolph County,4046,3074,3058,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Randolph_42398_112311-summary.zip
