state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,notes
CA,2024,,San Luis Obispo,San Luis Obispo,San Luis Obispo,county,153432,182701,83.98,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 219268; precinct voters 12196; vote-by-mail voters 141236; eligible turnout 69.97%.
CA,2024,,San Mateo,San Mateo,San Mateo,county,337241,443350,76.07,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 513823; precinct voters 39466; vote-by-mail voters 297775; eligible turnout 65.63%.
CA,2024,,Santa Barbara,Santa Barbara,Santa Barbara,county,187876,244991,76.69,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 303009; precinct voters 25159; vote-by-mail voters 162717; eligible turnout 62.00%.
CA,2024,,Santa Clara,Santa Clara,Santa Clara,county,765495,1048723,72.99,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 1269781; precinct voters 97924; vote-by-mail voters 667571; eligible turnout 60.29%.
CA,2024,,Santa Cruz,Santa Cruz,Santa Cruz,county,136505,170535,80.05,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 194239; precinct voters 19486; vote-by-mail voters 117019; eligible turnout 70.28%.
CA,2024,,Shasta,Shasta,Shasta,county,90162,115677,77.94,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 137859; precinct voters 12615; vote-by-mail voters 77547; eligible turnout 65.40%.
CA,2024,,Sierra,Sierra,Sierra,county,1780,2228,79.89,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 2612; precinct voters 0; vote-by-mail voters 1780; eligible turnout 68.15%.
CA,2024,,Siskiyou,Siskiyou,Siskiyou,county,21803,27965,77.97,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 34643; precinct voters 2999; vote-by-mail voters 18804; eligible turnout 62.94%.
CA,2024,,Solano,Solano,Solano,county,192397,269604,71.36,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 318536; precinct voters 36281; vote-by-mail voters 156116; eligible turnout 60.40%.
CA,2024,,Sonoma,Sonoma,Sonoma,county,255648,309263,82.66,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 353787; precinct voters 116041; vote-by-mail voters 139607; eligible turnout 72.26%.
CA,2024,,Stanislaus,Stanislaus,Stanislaus,county,200183,293212,68.27,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 365436; precinct voters 25686; vote-by-mail voters 174497; eligible turnout 54.78%.
CA,2024,,Sutter,Sutter,Sutter,county,39867,54210,73.54,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 67221; precinct voters 3963; vote-by-mail voters 35904; eligible turnout 59.31%.
CA,2024,,Tehama,Tehama,Tehama,county,26867,37488,71.67,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 46304; precinct voters 4426; vote-by-mail voters 22441; eligible turnout 58.02%.
CA,2024,,Trinity,Trinity,Trinity,county,5755,7424,77.52,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 13071; precinct voters 317; vote-by-mail voters 5438; eligible turnout 44.03%.
CA,2024,,Tulare,Tulare,Tulare,county,139860,219040,63.85,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 292032; precinct voters 30388; vote-by-mail voters 109472; eligible turnout 47.89%.
CA,2024,,Tuolumne,Tuolumne,Tuolumne,county,29240,35472,82.43,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 41422; precinct voters 2178; vote-by-mail voters 27062; eligible turnout 70.59%.
CA,2024,,Ventura,Ventura,Ventura,county,394197,516989,76.25,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 578954; precinct voters 62387; vote-by-mail voters 331810; eligible turnout 68.09%.
CA,2024,,Yolo,Yolo,Yolo,county,94509,118047,80.06,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 154827; precinct voters 14364; vote-by-mail voters 80145; eligible turnout 61.04%.
CA,2024,,Yuba,Yuba,Yuba,county,30443,44078,69.07,registeredVoters,sos15DayReportOfRegistration,California SOS registered-voter totals from the 15-day Report of Registration; Same Day Voter Registration after the 15-day close is not included in registered-voter totals.,false,https://elections.cdn.sos.ca.gov/sov/2024-general/sov/03-voter-participation-stats-by-county.pdf,California SOS 2024 General Election voter participation statistics by county,loaded,Eligible 57861; precinct voters 5073; vote-by-mail voters 25370; eligible turnout 52.61%.
