state,election_year,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,notes
NC,2024,Duplin County,Duplin County,Duplin County,county,22890,32693,70.0150,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Durham County,Durham County,Durham County,county,181494,253366,71.6331,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Edgecombe County,Edgecombe County,Edgecombe County,county,24466,36542,66.9531,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Forsyth County,Forsyth County,Forsyth County,county,205235,280007,73.2964,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Franklin County,Franklin County,Franklin County,county,42783,55589,76.9631,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Gaston County,Gaston County,Gaston County,county,118689,163717,72.4964,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Gates County,Gates County,Gates County,county,5880,8532,68.9170,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Graham County,Graham County,Graham County,county,4832,6315,76.5162,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Granville County,Granville County,Granville County,county,32144,42205,76.1616,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Greene County,Greene County,Greene County,county,8456,11278,74.9778,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
