state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,cvr_rows,source_url
NV,2024,Washoe County,501800.1 (16501801),808,487,28,1323,828,426,57,1311,1326,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,501900.1 (16501901),787,628,23,1438,791,585,51,1427,1440,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,502000.1 (16502001),105,46,2,153,104,46,4,154,154,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,502200.1 (16502201),200,107,14,321,199,102,20,321,321,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,503000.1 (16503001),995,897,25,1917,1006,850,51,1907,1921,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,503100.1 (16503101),594,796,17,1407,604,777,21,1402,1411,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,503500.1 (16503501),771,587,27,1385,767,543,65,1375,1386,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,503900.1 (16503901),5,13,0,18,5,13,0,18,18,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,504500.1 (16504501),871,913,25,1809,885,890,27,1802,1809,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,504700.1 (16504701),137,166,6,309,146,157,5,308,309,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,504800.1 (16504801),93,171,9,273,95,168,7,270,274,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,505300.1 (16505301),0,4,0,4,0,4,0,4,4,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,610000.1 (16610001),246,148,7,401,227,138,26,391,401,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,610100.1 (16610101),20,17,0,37,22,11,3,36,37,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,610300.1 (16610301),94,94,1,189,98,80,8,186,190,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,610700.1 (16610701),30,54,0,84,27,50,6,83,84,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,610800.1 (16610801),381,248,19,648,388,208,41,637,649,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,611000.1 (16611001),456,357,12,825,453,311,55,819,826,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,611100.1 (16611101),449,329,16,794,448,289,51,788,794,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,611400.1 (16611401),436,324,12,772,406,292,64,762,776,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,611500.1 (16611501),37,23,1,61,35,20,6,61,61,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,620200.1 (16620201),129,99,6,234,130,82,19,231,234,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,620300.1 (16620301),196,105,4,305,197,88,17,302,305,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,620400.1 (16620401),181,188,5,374,190,169,13,372,375,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,620500.1 (16620501),308,218,14,540,311,187,37,535,541,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,620600.1 (16620601),26,6,0,32,24,6,2,32,32,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,621000.1 (16621001),343,280,9,632,352,251,27,630,634,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,621100.1 (16621101),525,350,18,893,506,316,58,880,894,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,621300.1 (16621301),379,300,12,691,374,268,44,686,698,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,621400.1 (16621401),101,84,1,186,101,74,9,184,187,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,630000.1 (16630001),501,423,15,939,508,391,37,936,941,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,630600.1 (16630601),284,225,14,523,277,211,29,517,526,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,630700.1 (16630701),534,434,22,990,537,390,55,982,992,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,630800.1 (16630801),660,660,12,1332,662,625,39,1326,1334,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,631000.1 (16631001),269,319,6,594,271,287,28,586,594,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,632000.1 (16632001),685,801,31,1517,699,751,59,1509,1520,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,640100.1 (16640101),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,640300.1 (16640301),501,570,20,1091,510,531,48,1089,1096,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,641100.1 (16641101),381,497,18,896,395,469,25,889,897,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,641300.1 (16641301),633,744,27,1404,657,676,59,1392,1405,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,641600.1 (16641601),349,467,16,832,358,437,33,828,832,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,641800.1 (16641801),331,483,15,829,343,460,23,826,830,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,642200.1 (16642201),290,378,12,680,304,355,20,679,682,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,642300.1 (16642301),470,668,26,1164,480,641,39,1160,1165,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,642500.1 (16642501),417,564,25,1006,436,519,44,999,1006,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,650000.1 (16650001),453,416,18,887,454,396,34,884,889,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,650100.1 (16650101),351,304,9,664,353,274,29,656,664,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,650300.1 (16650301),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,650800.1 (16650801),274,236,12,522,282,219,17,518,522,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,651400.1 (16651401),438,331,15,784,449,290,38,777,786,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,651600.1 (16651601),405,422,11,838,407,394,29,830,838,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,652000.1 (16652001),254,237,5,496,268,212,16,496,496,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,652200.1 (16652201),425,434,20,879,444,402,27,873,882,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,652300.1 (16652301),336,306,13,655,334,283,33,650,657,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,652400.1 (16652401),512,629,18,1159,510,578,64,1152,1162,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,653000.1 (16653001),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,653100.1 (16653101),2,2,0,4,2,2,0,4,4,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,710000.1 (16710001),0,4,0,4,0,4,0,4,4,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,710200.1 (16710201),205,238,5,448,206,234,8,448,450,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,730100.1 (16730101),48,55,4,107,47,51,9,107,107,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,730400.1 (16730401),233,186,9,428,232,157,36,425,429,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,730700.1 (16730701),0,5,0,5,0,5,0,5,5,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,730800.1 (16730801),9,34,0,43,9,33,1,43,43,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,730900.1 (16730901),2,3,0,5,2,3,0,5,5,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,731000.1 (16731001),393,414,19,826,394,379,44,817,828,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,731100.1 (16731101),0,1,0,1,0,1,0,1,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,731300.1 (16731301),168,189,5,362,162,171,29,362,364,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,731500.1 (16731501),2,0,0,2,2,0,0,2,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,731600.1 (16731601),541,481,22,1044,532,425,70,1027,1045,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,732200.1 (16732201),3,2,0,5,3,2,0,5,5,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,740100.1 (16740101),30,47,0,77,31,44,2,77,78,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,740200.1 (16740201),169,241,10,420,175,225,20,420,423,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,740300.1 (16740301),2,0,0,2,0,2,0,2,2,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,740400.1 (16740401),1,12,0,13,1,12,0,13,13,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,740600.1 (16740601),0,3,0,3,0,3,0,3,3,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,740700.1 (16740701),389,799,20,1208,423,732,40,1195,1209,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,740800.1 (16740801),122,299,9,430,135,276,17,428,430,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,741000.1 (16741001),475,650,20,1145,480,610,48,1138,1145,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
