state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,county,local_unit,source_id,source_level,row_method,source_url,source_display_name,source_jurisdiction_name,dem_votes,rep_votes,other_votes,total_votes,notes
MO,2012,Oregon County,29149,county:29149,Oregon County,Oregon County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Oregon County,Oregon County,1419,2886,116,4421,
MO,2012,Osage County,29151,county:29151,Osage County,Osage County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Osage County,Osage County,1473,5329,117,6919,
MO,2012,Ozark County,29153,county:29153,Ozark County,Ozark County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Ozark County,Ozark County,1261,3080,112,4453,
MO,2012,Pemiscot County,29155,county:29155,Pemiscot County,Pemiscot County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Pemiscot County,Pemiscot County,2671,3598,66,6335,
MO,2012,Perry County,29157,county:29157,Perry County,Perry County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Perry County,Perry County,2184,5669,134,7987,
MO,2012,Pettis County,29159,county:29159,Pettis County,Pettis County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Pettis County,Pettis County,5904,10842,429,17175,
MO,2012,Phelps County,29161,county:29161,Phelps County,Phelps County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Phelps County,Phelps County,5798,11895,497,18190,
MO,2012,Pike County,29163,county:29163,Pike County,Pike County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Pike County,Pike County,2582,4577,162,7321,
MO,2012,Platte County,29165,county:29165,Platte County,Platte County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Platte County,Platte County,19175,25618,759,45552,
MO,2012,Polk County,29167,county:29167,Polk County,Polk County,mo-historical-presidential-sos-county-pdfs,county,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,Polk County,Polk County,3580,9252,287,13119,
