state,election_year,jurisdiction_code,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,source_jurisdictions,normalization_note
MO,2024,29099,Jefferson County,29099,county:29099,Jefferson County,Jefferson County,county,119314,166339,71.73,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Jefferson County,
MO,2024,29101,Johnson County,29101,county:29101,Johnson County,Johnson County,county,23602,35113,67.22,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Johnson County,
MO,2024,29103,Knox County,29103,county:29103,Knox County,Knox County,county,1810,2524,71.71,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Knox County,
MO,2024,29105,Laclede County,29105,county:29105,Laclede County,Laclede County,county,17076,24874,68.65,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Laclede County,
MO,2024,29107,Lafayette County,29107,county:29107,Lafayette County,Lafayette County,county,17248,23494,73.41,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Lafayette County,
MO,2024,29109,Lawrence County,29109,county:29109,Lawrence County,Lawrence County,county,18427,26490,69.56,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Lawrence County,
MO,2024,29111,Lewis County,29111,county:29111,Lewis County,Lewis County,county,4486,5956,75.32,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Lewis County,
MO,2024,29113,Lincoln County,29113,county:29113,Lincoln County,Lincoln County,county,32133,44792,71.74,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Lincoln County,
MO,2024,29115,Linn County,29115,county:29115,Linn County,Linn County,county,5687,8391,67.77,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Linn County,
MO,2024,29117,Livingston County,29117,county:29117,Livingston County,Livingston County,county,6873,9648,71.24,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Livingston County,
MO,2024,29121,Macon County,29121,county:29121,Macon County,Macon County,county,7839,10986,71.35,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Macon County,
MO,2024,29123,Madison County,29123,county:29123,Madison County,Madison County,county,5753,8567,67.15,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Madison County,
MO,2024,29125,Maries County,29125,county:29125,Maries County,Maries County,county,4786,6440,74.32,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Maries County,
