Office,Parish,Ward,Precinct,"Troy A. Carter, Sr. (DEM)","Devin Davis (DEM)","Devin Lance Graham (REP)","Christy Lynch (REP)","Shondrell Perrilloux (REP)"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","176","58","7","31","34","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","177","82","17","32","59","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","178","72","10","39","55","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","179A","197","27","77","80","13"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","179B","113","15","6","5","0"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","180","195","20","0","5","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","181","220","21","12","9","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","182","52","7","26","37","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","183","83","9","32","43","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","184","163","32","132","137","16"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","185A","73","14","77","53","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","185B","97","9","33","50","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","187","395","34","11","1","8"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","188","169","19","2","4","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","189","121","22","91","93","11"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","190","139","30","106","117","13"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","191","282","50","73","74","14"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","193A","163","23","36","47","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","193B","179","38","84","78","12"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","194A","124","15","79","83","10"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","194B","205","35","107","134","12"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","195","297","37","20","24","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","196","357","57","24","18","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","197A","213","25","14","15","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","197B","386","50","9","11","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","200","174","21","2","3","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","201","282","39","10","7","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","202","73","10","53","61","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","203","127","22","55","90","19"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","204","95","12","49","79","11"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","205","288","37","13","9","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","210","75","13","24","19","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","211","86","7","51","63","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","212","245","19","5","1","0"
