COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|L|NL|R|U|TOTAL|
KEN|WINDSOR|1-1|1|13|62|1|78|15|0|0|79|127|299|
KEN|WINSLOW|1-1|1|16|63|3|28|7|0|0|35|96|166|
KEN|WINSLOW|2-1|1|16|63|3|30|2|0|0|35|82|149|
KEN|WINSLOW|2-1|1|16|64|3|5|1|0|0|5|8|19|
KEN|WINSLOW|3-1|1|16|63|3|18|2|0|0|14|29|63|
KEN|WINSLOW|3-1|1|16|64|3|45|8|0|0|33|89|175|
KEN|WINSLOW|4-1|1|16|63|3|22|6|0|0|41|48|117|
KEN|WINSLOW|4-1|1|16|64|3|19|1|0|0|12|19|51|
KEN|WINSLOW|5-1|1|16|63|3|25|4|0|0|25|70|124|
KEN|WINSLOW|5-1|1|16|64|3|5|0|0|0|3|4|12|
KEN|WINTHROP|1-1|2|14|57|2|232|40|0|0|250|431|953|
KNO|APPLETON|1-1|1|12|40|2|13|8|0|0|16|27|64|
KNO|CAMDEN|1-1|1|12|41|3|199|21|0|0|111|197|528|
KNO|CUSHING|1-1|1|12|43|2|33|13|0|0|32|69|147|
KNO|FRIENDSHIP|1-1|1|12|45|2|29|9|0|0|44|63|145|
KNO|HOPE|1-1|1|12|44|3|10|6|0|0|19|23|58|
KNO|ISLE AU HAUT|1-1|1|7|15|3|5|0|0|0|1|4|10|
KNO|MATINICUS ISLE PLT|1-1|1|12|42|3|2|0|0|0|3|3|8|
KNO|NORTH HAVEN|1-1|1|12|42|3|10|1|0|1|5|16|33|
KNO|OWLS HEAD|1-1|1|12|42|3|22|4|0|0|37|67|130|
KNO|OWLS HEAD|1-1|1|12|43|3|13|1|0|0|8|16|38|
KNO|ROCKLAND|1-1|1|12|42|1|306|50|0|1|240|424|1021|
KNO|ROCKPORT|1-1|1|12|41|3|121|8|0|0|87|113|329|
KNO|SAINT GEORGE|1-1|1|12|43|1|67|10|1|3|45|99|225|
KNO|SOUTH THOMASTON|1-1|1|12|43|1|31|17|1|0|42|93|184|
KNO|THOMASTON|1-1|1|12|43|1|91|31|0|1|75|156|354|
KNO|UNION|1-1|1|12|44|2|31|11|0|0|38|65|145|
KNO|VINALHAVEN|1-1|1|12|15|3|38|4|0|0|7|50|99|
KNO|WARREN|1-1|1|12|44|2|78|14|0|0|83|201|376|
KNO|WASHINGTON|1-1|1|13|45|2|31|11|0|0|34|69|145|
LIN|ALNA|1-1|1|13|47|3|22|10|0|0|16|35|83|
LIN|BOOTHBAY|1-1|1|13|48|1|64|18|0|0|72|146|300|
LIN|BOOTHBAY HARBOR|1-1|1|13|48|1|73|8|0|0|86|118|285|
LIN|BREMEN|1-1|1|13|45|2|32|3|0|0|19|34|88|
LIN|BRISTOL|1-1|1|13|46|2|29|6|0|0|44|81|160|
LIN|DAMARISCOTTA|1-1|1|13|46|3|99|15|0|0|73|136|323|
LIN|DRESDEN|1-1|1|24|53|3|56|15|0|0|57|107|235|
LIN|EDGECOMB|1-1|1|13|48|1|57|7|0|0|58|98|220|
LIN|JEFFERSON|1-1|1|13|47|3|74|14|0|0|68|136|292|
LIN|MONHEGAN ISLAND PLT|1-1|1|13|46|2|0|0|0|0|0|2|2|
LIN|NEWCASTLE|1-1|1|13|46|3|50|13|0|0|26|55|144|
LIN|NOBLEBORO|1-1|1|13|46|2|51|11|0|0|53|91|206|
LIN|SOMERVILLE|1-1|1|13|62|3|5|9|0|0|7|18|39|
LIN|SOUTH BRISTOL|1-1|1|13|48|2|25|7|0|0|17|62|111|
LIN|SOUTHPORT|1-1|1|13|48|1|18|0|0|0|15|13|46|
LIN|WALDOBORO|1-1|1|13|45|2|169|42|0|0|162|298|671|
LIN|WESTPORT ISLAND|1-1|1|13|48|1|16|4|0|0|12|37|69|
LIN|WHITEFIELD|1-1|1|13|47|3|40|8|0|0|39|85|172|
LIN|WISCASSET|1-1|1|13|47|1|99|18|0|1|121|221|460|
OXF|ALBANY TWP|1-1|2|19|81|1|8|4|0|0|6|16|34|
OXF|ANDOVER|1-1|2|19|73|2|7|6|0|0|7|43|63|
OXF|BETHEL|1-1|2|19|78|2|102|7|0|0|85|291|485|
OXF|BROWNFIELD|1-1|2|18|82|1|33|13|0|0|31|80|157|
OXF|BUCKFIELD|1-1|2|19|80|3|22|3|0|0|40|168|233|
OXF|BYRON|1-1|2|19|78|2|5|2|0|0|1|2|10|
OXF|CANTON|1-1|2|19|77|2|54|8|0|0|24|88|174|
OXF|DENMARK|1-1|2|18|83|1|28|1|0|0|33|87|149|
OXF|DIXFIELD|1-1|2|19|77|2|49|24|0|0|33|139|245|
OXF|FRYEBURG|1-1|2|18|82|1|165|37|0|0|186|443|831|
OXF|GILEAD|1-1|2|19|73|2|2|2|0|0|2|8|14|
OXF|GREENWOOD|1-1|2|19|81|1|14|9|0|0|13|45|81|
OXF|HANOVER|1-1|2|19|78|2|10|1|0|0|13|24|48|
OXF|HARTFORD|1-1|2|19|77|3|29|5|0|0|26|80|140|
OXF|HEBRON|1-1|2|18|80|3|38|12|0|1|29|55|135|
OXF|HIRAM|1-1|2|22|82|1|30|5|0|0|32|91|158|
OXF|LINCOLN PLT|1-1|2|19|73|2|0|0|0|0|1|0|1|
OXF|LOVELL|1-1|2|19|82|1|30|8|0|0|36|67|141|
OXF|MAGALLOWAY TWP|1-1|2|19|73|2|0|0|0|0|2|4|6|
OXF|MEXICO|1-1|2|19|77|2|105|12|0|0|56|231|404|
OXF|NEWRY|1-1|2|19|73|2|18|0|0|0|10|15|43|
OXF|NORWAY|1-1|2|18|81|1|211|50|0|0|189|435|885|
OXF|OTISFIELD|1-1|2|18|80|3|51|14|0|0|52|127|244|
OXF|OXFORD|1-1|2|18|80|3|152|37|0|0|148|386|723|
OXF|PARIS|1-1|2|18|79|3|150|35|0|0|155|371|711|
OXF|PERU|1-1|2|19|77|2|45|13|0|0|40|109|207|
OXF|PORTER|1-1|2|22|82|1|35|7|0|0|40|94|176|
OXF|ROXBURY|1-1|2|19|78|2|13|1|0|0|10|15|39|
OXF|RUMFORD|1-1|2|19|78|2|326|47|0|1|144|572|1090|
OXF|STONEHAM|1-1|2|19|81|1|3|2|0|0|3|10|18|
OXF|STOW|1-1|2|19|81|1|2|1|0|0|4|7|14|
OXF|SUMNER|1-1|2|19|79|3|7|11|0|0|22|59|99|
OXF|SWEDEN|1-1|2|18|81|1|4|1|0|0|9|22|36|
OXF|UPTON|1-1|2|19|73|2|1|0|0|0|1|10|12|
OXF|WATERFORD|1-1|2|18|81|1|18|5|0|0|16|29|68|
OXF|WEST PARIS|1-1|2|19|79|3|38|11|0|1|52|129|231|
OXF|WOODSTOCK|1-1|2|19|79|3|39|15|0|0|39|86|179|
PEN|ALTON|1-1|2|8|27|3|19|12|0|0|14|51|96|
PEN|BANGOR|1-1|2|9|21|1|239|43|0|0|168|478|928|
PEN|BANGOR|1-1|2|9|22|1|254|47|0|0|154|562|1017|
PEN|BANGOR|1-1|2|9|23|1|208|25|1|0|128|343|705|
PEN|BANGOR|1-1|2|9|24|1|72|13|0|0|43|163|291|
PEN|BRADFORD|1-1|2|4|27|3|16|6|0|0|21|35|78|
PEN|BRADFORD|1-1|2|4|32|3|5|2|0|0|3|8|18|
PEN|BRADLEY|1-1|2|10|26|3|79|12|0|0|46|104|241|
PEN|BREWER|1-1|2|10|20|1|401|65|0|1|488|656|1611|
PEN|BREWER|1-1|2|10|24|1|17|2|0|0|12|22|53|
PEN|BURLINGTON|1-1|2|8|18|3|8|2|0|0|11|25|46|
PEN|CARMEL|1-1|2|10|35|2|47|7|0|0|79|141|274|
PEN|CARROLL PLT|1-1|2|8|8|3|0|2|0|0|2|7|11|
PEN|CHARLESTON|1-1|2|4|32|2|18|8|0|0|56|81|163|
PEN|CHESTER|1-1|2|2|29|3|10|1|0|0|6|8|25|
PEN|CLIFTON|1-1|2|10|18|1|49|4|0|0|43|98|194|
PEN|CORINNA|1-1|2|4|33|2|49|18|1|1|90|122|281|
PEN|CORINTH|1-1|2|4|27|2|41|13|0|1|90|165|310|
PEN|DEXTER|1-1|2|4|32|2|97|39|0|0|102|195|433|
PEN|DIXMONT|1-1|2|3|33|2|15|7|0|0|10|25|57|
PEN|DREW TWP|1-1|2|2|8|3|1|2|0|0|4|3|10|
PEN|EAST MILLINOCKET|1-1|2|2|29|3|50|11|0|0|33|90|184|
PEN|EDDINGTON|1-1|2|10|19|1|22|7|0|0|35|71|135|
PEN|EDINBURG|1-1|2|8|28|3|0|0|0|0|1|0|1|
PEN|ENFIELD|1-1|2|8|28|3|64|10|0|0|54|120|248|
PEN|ETNA|1-1|2|3|33|2|44|5|1|0|54|66|170|
PEN|EXETER|1-1|2|4|32|2|26|3|0|0|32|60|121|
PEN|GARLAND|1-1|2|4|32|2|27|4|0|0|31|73|135|
PEN|GLENBURN|1-1|2|4|34|2|90|21|0|0|139|199|449|
PEN|GREENBUSH|1-1|2|8|18|3|37|17|0|0|38|75|167|
PEN|HAMPDEN|1-1|2|10|36|2|65|8|0|0|57|108|238|
PEN|HAMPDEN|2-1|2|10|36|2|46|9|0|0|103|114|272|
PEN|HAMPDEN|3-1|2|10|36|2|50|10|0|0|69|86|215|
PEN|HAMPDEN|4-1|2|10|36|2|38|8|0|0|65|113|224|
PEN|HERMON|1-1|2|9|35|2|153|28|0|0|226|316|723|
PEN|HOLDEN|1-1|2|10|19|1|96|15|0|0|138|153|402|
PEN|HOWLAND|1-1|2|8|28|3|45|3|0|0|31|44|123|
PEN|HUDSON|1-1|2|4|27|2|45|5|0|0|50|91|191|
PEN|KENDUSKEAG|1-1|2|4|34|2|52|6|0|0|49|118|225|
PEN|KINGMAN TWP|1-1|2|2|8|3|16|3|0|0|2|9|30|
PEN|LAGRANGE|1-1|2|8|28|3|14|11|0|0|25|57|107|
PEN|LAKEVILLE|1-1|2|8|8|3|2|0|0|0|5|3|10|
PEN|LEE|1-1|2|8|8|3|23|4|0|0|33|65|125|
PEN|LEVANT|1-1|2|4|34|2|64|13|0|0|96|123|296|
PEN|LINCOLN|1-1|2|8|28|3|104|22|0|0|95|181|402|
PEN|LOWELL|1-1|2|8|18|3|24|3|0|0|16|24|67|
PEN|MATTAWAMKEAG|1-1|2|2|8|3|9|6|0|0|7|24|46|
PEN|MAXFIELD|1-1|2|2|28|3|1|0|0|0|5|5|11|
PEN|MEDWAY|1-1|2|2|29|3|37|2|0|0|27|79|145|
PEN|MILFORD|1-1|2|8|27|3|127|27|2|0|77|206|439|
PEN|MILLINOCKET|1-1|2|2|29|3|156|18|0|0|102|257|533|
PEN|MILLINOCKET|1-2|2|2|29|3|10|0|0|0|13|25|48|
PEN|MOUNT CHASE|1-1|2|2|29|3|4|0|0|0|7|17|28|
PEN|NEWBURGH|1-1|2|10|36|2|22|10|0|0|28|79|139|
PEN|NEWPORT|1-1|2|3|33|2|92|11|0|0|116|206|425|
PEN|OLD TOWN|1-1|2|8|26|3|477|81|1|0|255|734|1548|
PEN|OLD TOWN|5-1|2|8|26|3|4|0|0|0|4|9|17|
PEN|ORONO|1-1|2|8|25|3|449|90|0|0|261|563|1363|
PEN|ORONO|1-2|2|8|25|3|594|139|0|0|327|936|1996|
PEN|ORONO|1-3|2|8|24|3|130|10|0|0|84|149|373|
PEN|ORONO|1-3|2|8|25|3|91|21|0|0|42|85|239|
PEN|ORRINGTON|1-1|2|10|19|1|91|23|0|0|166|153|433|
PEN|PASSADUMKEAG|1-1|2|8|18|3|14|2|0|0|15|22|53|
PEN|PATTEN|1-1|2|2|29|3|17|6|0|0|26|61|110|
PEN|PENOBSCOT NATION VOTING DISTRICT|1-1|2|8|26|3|14|3|0|0|6|22|45|
PEN|PLYMOUTH|1-1|2|3|33|2|26|6|0|0|59|115|206|
PEN|PRENTISS TWP T7 R3 NBPP|1-1|2|8|8|3|8|1|0|0|8|9|26|
PEN|SEBOEIS PLT|1-1|2|2|28|3|0|1|0|0|0|4|5|
PEN|SPRINGFIELD|1-1|2|8|8|3|3|3|0|0|3|24|33|
PEN|STACYVILLE|1-1|2|2|8|3|0|0|0|0|0|12|12|
PEN|STETSON|1-1|2|3|32|2|42|18|0|0|56|108|224|
PEN|VEAZIE|1-1|2|8|24|3|72|13|0|0|80|126|291|
PEN|WEBSTER PLT|1-1|2|8|8|3|0|2|0|0|2|5|9|
PEN|WINN|1-1|2|8|28|3|1|1|0|0|6|21|29|
PEN|WOODVILLE|1-1|2|2|29|3|9|1|0|0|4|15|29|
PIS|ABBOT|1-1|2|4|30|1|6|2|0|0|11|29|48|
PIS|ATKINSON TWP|1-1|2|4|31|2|2|2|0|0|5|9|18|
PIS|BEAVER COVE|1-1|2|4|30|3|1|0|0|0|0|3|4|
PIS|BOWERBANK|1-1|2|4|30|1|0|0|0|0|3|8|11|
PIS|BROWNVILLE|1-1|2|4|31|3|18|2|0|0|24|65|109|
PIS|DOVER-FOXCROFT|1-1|2|4|31|2|118|17|0|0|100|176|411|
PIS|GREENVILLE|1-1|2|4|30|3|72|14|0|0|112|163|361|
PIS|GUILFORD|1-1|2|4|30|1|17|4|0|0|23|79|123|
PIS|KINGSBURY PLT|1-1|2|4|30|1|1|0|0|0|2|3|6|
PIS|LAKE VIEW PLT|1-1|2|4|31|3|0|0|0|0|2|5|7|
PIS|MEDFORD|1-1|2|4|31|2|5|0|0|0|2|6|13|
PIS|MILO|1-1|2|4|31|3|138|31|0|0|138|219|526|
PIS|MONSON|1-1|2|4|30|1|12|4|0|0|17|39|72|
PIS|PARKMAN|1-1|2|4|30|1|15|3|0|0|24|57|99|
PIS|SANGERVILLE|1-1|2|4|30|1|36|8|0|0|31|78|153|
PIS|SEBEC|1-1|2|4|30|2|5|2|0|0|13|25|45|
PIS|SHIRLEY|1-1|2|4|30|1|2|0|0|0|2|9|13|
PIS|WELLINGTON|1-1|2|4|30|1|10|3|0|0|7|20|40|
PIS|WILLIMANTIC|1-1|2|4|30|1|6|1|0|0|6|12|25|
SAG|ARROWSIC|1-1|1|24|49|3|15|3|0|0|5|8|31|
SAG|BATH|1-1|1|24|50|2|57|7|0|0|45|99|208|
SAG|BATH|2-1|1|24|50|2|80|13|0|0|64|122|279|
SAG|BATH|3-1|1|24|50|2|78|13|0|0|53|126|270|
SAG|BATH|4-1|1|24|50|2|56|4|0|0|45|80|185|
SAG|BATH|5-1|1|24|50|2|60|18|0|0|49|118|245|
SAG|BATH|6-1|1|24|50|2|59|5|0|0|48|116|228|
SAG|BATH|7-1|1|24|50|2|56|11|0|0|44|57|168|
SAG|BOWDOIN|1-1|1|24|52|1|76|17|0|0|82|190|365|
SAG|BOWDOIN|1-1|1|24|98|1|44|7|0|0|50|84|185|
SAG|BOWDOINHAM|1-1|1|24|52|2|59|9|0|0|34|111|213|
SAG|GEORGETOWN|1-1|1|24|49|3|21|3|0|0|25|49|98|
SAG|PHIPPSBURG|1-1|1|24|49|3|68|10|0|1|59|119|257|
SAG|RICHMOND|1-1|1|24|52|3|28|9|0|0|34|70|141|
SAG|TOPSHAM|1-1|1|24|51|1|240|27|0|0|221|458|946|
SAG|TOPSHAM|1-1|1|24|98|1|11|2|0|0|21|45|79|
SAG|WEST BATH|1-1|1|24|49|3|42|16|0|1|48|94|201|
SAG|WOOLWICH|1-1|1|24|49|3|68|23|0|0|75|133|299|
SOM|ANSON|1-1|2|5|72|2|70|19|0|0|71|180|340|
SOM|ATHENS|1-1|2|5|72|5|42|7|1|0|41|104|195|
SOM|BINGHAM|1-1|2|5|72|5|34|1|0|0|23|80|138|
SOM|BRIGHTON PLT|1-1|2|5|30|5|6|1|0|0|2|6|15|
SOM|CAMBRIDGE|1-1|2|5|30|3|5|2|0|0|5|26|38|
SOM|CANAAN|1-1|2|3|69|5|45|10|0|0|51|103|209|
SOM|CARATUNK|1-1|2|5|72|5|0|0|0|0|0|0|0|
SOM|CORNVILLE|1-1|2|5|71|4|21|8|0|0|44|72|145|
SOM|DENNISTOWN PLT|1-1|2|5|73|5|0|1|0|0|1|1|3|
SOM|DETROIT|1-1|2|3|69|3|55|21|1|0|30|88|195|
SOM|EMBDEN|1-1|2|5|72|5|32|3|0|0|37|73|145|
SOM|FAIRFIELD|1-1|2|16|67|1|186|25|0|0|148|321|680|
SOM|HARMONY|1-1|2|5|72|3|39|7|0|0|30|75|151|
SOM|HARTLAND|1-1|2|5|69|5|51|17|0|0|41|89|198|
SOM|HIGHLAND PLT|1-1|2|5|73|2|3|1|0|0|4|12|20|
SOM|JACKMAN|1-1|2|5|73|5|24|0|0|1|43|57|125|
SOM|JACKMAN|1-2|2|5|73|5|4|0|0|0|4|6|14|
SOM|MADISON|1-1|2|3|71|2|190|23|0|0|133|312|658|
SOM|MERCER|1-1|2|5|66|2|2|6|0|0|14|24|46|
SOM|MOOSE RIVER|1-1|2|5|73|5|0|0|0|1|11|6|18|
SOM|MOSCOW|1-1|2|5|72|5|9|4|0|0|9|25|47|
SOM|NEW PORTLAND|1-1|2|5|74|2|14|15|0|0|20|48|97|
SOM|NORRIDGEWOCK|1-1|2|3|71|1|99|20|0|0|86|156|361|
SOM|PALMYRA|1-1|2|3|69|3|44|10|0|0|51|117|222|
SOM|PITTSFIELD|1-1|2|3|68|3|54|4|0|0|50|119|227|
SOM|PITTSFIELD|1-2|2|3|68|3|58|8|0|0|47|94|207|
SOM|PITTSFIELD|1-3|2|3|68|3|55|7|0|0|65|110|237|
SOM|PITTSFIELD|1-4|2|3|68|3|41|6|0|0|47|80|174|
SOM|PLEASANT RIDGE PLT|1-1|2|5|72|5|1|0|0|0|3|8|12|
SOM|RIPLEY|1-1|2|5|72|3|9|3|0|1|21|19|53|
SOM|ROCKWOOD STRIP TWP|1-1|2|5|72|5|7|4|0|0|11|19|41|
SOM|SAINT ALBANS|1-1|2|5|69|3|20|5|0|0|40|89|154|
SOM|SKOWHEGAN|1-1|2|3|70|4|424|50|1|2|361|719|1557|
SOM|SMITHFIELD|1-1|2|5|66|2|12|3|0|0|12|32|59|
SOM|SOLON|1-1|2|5|72|5|26|2|0|0|12|54|94|
SOM|STARKS|1-1|2|5|66|2|12|5|0|1|10|65|93|
SOM|THE FORKS PLT|1-1|2|5|73|5|2|0|0|0|0|4|6|
SOM|WEST FORKS PLT|1-1|2|5|73|5|0|0|0|0|2|2|4|
WAL|BELFAST|1-1|2|11|39|1|53|4|0|0|28|72|157|
WAL|BELFAST|2-1|2|11|39|1|51|11|0|0|42|75|179|
WAL|BELFAST|3-1|2|11|39|1|75|14|0|0|47|103|239|
WAL|BELFAST|4-1|2|11|39|1|56|14|0|0|32|86|188|
WAL|BELFAST|5-1|2|11|39|1|51|7|0|0|48|100|206|
WAL|BELMONT|1-1|2|11|39|1|18|11|0|0|26|55|110|
WAL|BROOKS|1-1|2|11|38|3|21|2|0|0|17|40|80|
WAL|BURNHAM|1-1|2|11|68|3|8|8|0|0|4|63|83|
WAL|FRANKFORT|1-1|2|11|37|2|2|3|0|0|6|13|24|
WAL|FRANKFORT|1-1|2|11|38|2|5|0|0|0|5|20|30|
WAL|FREEDOM|1-1|2|11|63|3|14|7|0|0|16|39|76|
WAL|ISLESBORO|1-1|2|11|40|1|26|3|0|0|5|43|77|
WAL|JACKSON|1-1|2|11|38|2|13|2|0|0|16|37|68|
WAL|KNOX|1-1|2|11|38|3|15|8|0|0|22|57|102|
WAL|LIBERTY|1-1|2|11|40|3|21|4|0|0|27|44|96|
WAL|LINCOLNVILLE|1-1|2|11|40|1|63|18|0|1|45|81|208|
WAL|MONROE|1-1|2|11|38|2|34|21|0|0|31|87|173|
WAL|MONTVILLE|1-1|2|11|40|3|19|6|0|0|12|46|83|
WAL|MORRILL|1-1|2|11|40|3|11|3|0|0|24|42|80|
WAL|NORTHPORT|1-1|2|11|39|1|39|16|0|0|36|78|169|
WAL|PALERMO|1-1|2|11|62|3|36|10|0|0|40|81|167|
WAL|PROSPECT|1-1|2|11|37|2|9|1|0|0|13|41|64|
WAL|SEARSMONT|1-1|2|11|40|3|20|6|0|0|23|54|103|
WAL|SEARSPORT|1-1|2|11|37|2|116|28|0|1|168|233|546|
WAL|STOCKTON SPRINGS|1-1|2|11|37|2|54|9|0|0|60|124|247|
WAL|SWANVILLE|1-1|2|11|38|2|47|17|0|0|55|168|287|
WAL|THORNDIKE|1-1|2|11|38|3|22|17|0|0|28|62|129|
WAL|TROY|1-1|2|11|68|3|26|16|0|0|25|81|148|
WAL|UNITY|1-1|2|11|38|3|158|91|0|0|99|282|630|
WAL|WALDO|1-1|2|11|38|1|20|7|0|0|17|63|107|
WAL|WINTERPORT|1-1|2|11|37|2|149|36|0|0|177|260|622|
WAS|ADDISON|1-1|2|6|11|3|23|6|0|0|32|49|110|
WAS|ALEXANDER|1-1|2|6|10|1|16|2|0|0|16|40|74|
WAS|BAILEYVILLE|1-1|2|6|9|1|46|7|0|0|39|98|190|
WAS|BARING PLT|1-1|2|6|9|1|6|2|0|0|3|10|21|
WAS|BEALS|1-1|2|6|11|3|10|0|0|0|1|8|19|
WAS|BEDDINGTON|1-1|2|6|18|1|0|0|0|0|2|1|3|
WAS|BIG LAKE TWP|1-1|2|6|10|1|1|0|0|0|3|6|10|
WAS|BROOKTON TWP|1-1|2|6|8|1|7|0|0|0|10|5|22|
WAS|CALAIS|1-1|2|6|9|1|70|8|0|0|111|246|435|
WAS|CHARLOTTE|1-1|2|6|10|1|1|0|0|0|2|6|9|
WAS|CHERRYFIELD|1-1|2|6|18|3|37|7|0|0|58|105|207|
WAS|CODYVILLE TWP|1-1|2|6|8|1|0|0|0|0|0|4|4|
WAS|COLUMBIA|1-1|2|6|11|3|11|5|0|0|17|33|66|
WAS|COLUMBIA FALLS|1-1|2|6|11|3|14|3|0|0|19|23|59|
WAS|COOPER|1-1|2|6|10|1|8|1|0|0|8|5|22|
WAS|CRAWFORD|1-1|2|6|10|1|1|0|0|0|3|5|9|
WAS|CUTLER|1-1|2|6|10|2|8|1|0|0|15|31|55|
WAS|DANFORTH|1-1|2|6|8|1|14|6|0|0|21|71|112|
WAS|DEBLOIS|1-1|2|6|18|1|0|0|0|0|1|1|2|
WAS|DENNYSVILLE|1-1|2|6|10|2|8|0|0|0|9|12|29|
WAS|EAST MACHIAS|1-1|2|6|10|2|23|8|0|1|35|44|111|
WAS|EASTPORT|1-1|2|6|9|2|72|8|0|0|37|94|211|
WAS|EDMUNDS TWP|1-1|2|6|10|2|4|2|0|0|4|18|28|
WAS|GRAND LAKE STREAM PLT|1-1|2|6|9|1|3|0|0|0|8|3|14|
WAS|HARRINGTON|1-1|2|6|11|3|31|6|0|1|40|60|138|
WAS|INDIAN TOWNSHIP|1-1|2|6|9|1|72|2|0|0|10|62|146|
WAS|JONESBORO|1-1|2|6|11|3|5|1|0|0|6|16|28|
WAS|JONESPORT|1-1|2|6|11|3|43|6|0|0|22|55|126|
WAS|LUBEC|1-1|2|6|10|2|60|2|0|1|25|127|215|
WAS|MACHIAS|1-1|2|6|11|2|143|22|0|0|72|211|448|
WAS|MACHIASPORT|1-1|2|6|10|3|28|5|0|1|37|72|143|
WAS|MARSHFIELD|1-1|2|6|10|1|9|4|0|0|11|18|42|
WAS|MEDDYBEMPS|1-1|2|6|9|1|1|1|0|0|1|3|6|
WAS|MILBRIDGE|1-1|2|6|11|3|38|7|0|0|35|58|138|
WAS|NORTHFIELD|1-1|2|6|10|1|1|0|0|0|3|2|6|
WAS|PEMBROKE|1-1|2|6|10|2|6|5|0|0|8|33|52|
WAS|PERRY|1-1|2|6|9|2|10|2|0|0|10|26|48|
WAS|PLEASANT POINT VOTING DISTRICT|1-1|2|6|9|2|51|3|0|1|10|88|153|
WAS|PRINCETON|1-1|2|6|10|1|6|1|0|0|6|24|37|
WAS|PRINCETON|1-2|2|6|10|1|10|0|0|0|13|23|46|
WAS|ROBBINSTON|1-1|2|6|9|1|16|4|1|0|16|30|67|
WAS|ROQUE BLUFFS|1-1|2|6|11|3|5|0|0|0|2|8|15|
WAS|STEUBEN|1-1|2|6|12|3|24|9|0|0|25|60|118|
WAS|TALMADGE|1-1|2|6|8|1|1|0|0|0|0|0|1|
WAS|TOPSFIELD|1-1|2|6|8|1|5|0|0|0|3|21|29|
WAS|VANCEBORO|1-1|2|6|8|1|2|0|0|0|1|11|14|
WAS|WAITE|1-1|2|6|8|1|1|0|0|0|6|3|10|
WAS|WESLEY|1-1|2|6|10|1|0|0|0|0|3|7|10|
WAS|WHITING|1-1|2|6|10|2|6|2|0|0|4|11|23|
WAS|WHITNEYVILLE|1-1|2|6|11|1|10|2|0|0|6|30|48|
YOR|ACTON|1-1|1|22|144|1|65|16|0|0|91|157|329|
YOR|ALFRED|1-1|1|33|136|4|57|10|0|0|53|106|226|
YOR|ALFRED|1-2|1|33|136|4|28|9|0|0|18|58|113|
YOR|ARUNDEL|1-1|1|32|140|2|115|15|0|0|112|270|512|
YOR|BERWICK|1-1|1|34|148|1|269|26|0|0|341|890|1526|
YOR|BIDDEFORD|1-1|1|32|133|2|10|1|0|0|5|6|22|
YOR|BIDDEFORD|1-1|1|32|134|2|222|30|0|0|69|190|511|
YOR|BIDDEFORD|2-1|1|32|132|2|149|31|0|1|49|245|475|
YOR|BIDDEFORD|2-1|1|32|133|2|18|1|0|0|15|22|56|
YOR|BIDDEFORD|3-1|1|32|132|2|17|2|0|0|15|33|67|
YOR|BIDDEFORD|3-1|1|32|133|2|30|5|0|0|12|37|84|
YOR|BIDDEFORD|3-1|1|32|134|2|40|4|0|0|12|37|93|
YOR|BIDDEFORD|4-1|1|32|132|2|120|14|0|0|41|140|315|
YOR|BIDDEFORD|4-1|1|32|133|2|11|2|0|0|8|4|25|
YOR|BIDDEFORD|5-1|1|32|132|2|129|20|0|0|59|176|384|
YOR|BIDDEFORD|5-1|1|32|133|2|56|8|0|0|20|60|144|
YOR|BIDDEFORD|6-1|1|32|132|2|5|2|0|0|4|9|20|
YOR|BIDDEFORD|6-1|1|32|133|2|104|9|0|0|49|152|314|
YOR|BIDDEFORD|7-1|1|32|132|2|2|1|0|0|2|4|9|
YOR|BIDDEFORD|7-1|1|32|133|2|80|10|0|0|30|106|226|
YOR|BUXTON|1-1|1|31|137|3|169|32|0|0|168|342|711|
YOR|BUXTON|1-1|1|31|138|3|46|7|0|0|44|115|212|
YOR|CORNISH|1-1|1|22|138|1|35|15|0|0|34|102|186|
YOR|DAYTON|1-1|1|32|140|4|43|9|0|0|41|119|212|
YOR|ELIOT|1-1|1|35|150|5|350|44|0|0|317|618|1329|
YOR|HOLLIS|1-1|1|32|137|3|58|15|0|0|63|118|254|
YOR|HOLLIS|1-1|1|32|138|3|42|6|0|0|45|88|181|
YOR|KENNEBUNK|1-1|1|34|135|2|55|9|1|0|69|170|304|
YOR|KENNEBUNK|1-2|1|34|134|2|60|5|0|0|90|144|299|
YOR|KENNEBUNK|1-2|1|34|135|2|145|11|0|0|123|303|582|
YOR|KENNEBUNKPORT|1-1|1|34|134|2|44|5|0|0|60|79|188|
YOR|KITTERY|1-1|1|35|150|5|41|1|0|0|19|50|111|
YOR|KITTERY|1-1|1|35|151|5|512|47|0|1|357|649|1566|
YOR|LEBANON|1-1|1|33|144|1|220|50|0|0|213|632|1115|
YOR|LIMERICK|1-1|1|22|139|4|70|15|0|0|70|177|332|
YOR|LIMINGTON|1-1|1|22|138|1|20|9|0|0|22|49|100|
YOR|LYMAN|1-1|1|32|136|4|71|8|0|0|48|130|257|
YOR|LYMAN|1-1|1|32|140|4|71|12|0|0|70|131|284|
YOR|NEWFIELD|1-1|1|22|141|1|37|10|0|0|56|98|201|
YOR|NORTH BERWICK|1-1|1|34|148|1|35|6|0|0|45|95|181|
YOR|NORTH BERWICK|1-1|1|34|149|1|101|18|0|0|106|253|478|
